Date,CleanReturn,TotalReturn,CleanPnL,TotalPnL,CleanValue,TotalValue,CleanVaRLinear,TotalVaRLinear,CleanVaRDiscrete,TotalVaRDiscrete,CleanQuantileLinear,TotalQuantileLinear,CleanExceedance,TotalExceedance
2025-04-08,0.002084886678804949,0.002516971706102697,195869.50291151105,328473.7569330844,94143183.23594514,130832029.33392297,303927.21470430784,256193.73032012855,323951.1567506308,293350.0592527361,-0.003039272147043078,-0.0025619373032012855,0,0
2025-04-09,-0.003339613608830932,-0.011309667570840464,-314401.85591342644,-1479666.7593851169,93828781.3800317,129352362.57453784,326553.80982507096,294467.23984215123,333961.3608830932,297646.9076735637,-0.0032655380982507098,-0.0029446723984215125,1,1
2025-04-10,0.0019388999978310153,0.0023943065904302773,181924.62401423027,309709.2141999427,94010706.00404593,129662071.78873779,326553.80982507096,294467.23984215123,333961.3608830932,297646.9076735637,-0.0032655380982507098,-0.0029446723984215125,0,0
2025-04-11,0.00224668216895844,0.0026958099950297257,211212.17687048417,349544.30910434114,94221918.18091641,130011616.09784213,326553.80982507096,294467.23984215123,333961.3608830932,297646.9076735637,-0.0032655380982507098,-0.0029446723984215125,0,0
2025-04-14,0.00039410361654994026,0.0019440648329877605,37133.19871337173,252751.01073572028,94259051.37962979,130264367.10857785,326553.80982507096,294467.23984215123,333961.3608830932,297646.9076735637,-0.0032655380982507098,-0.0029446723984215125,0,0
2025-04-15,-0.0005553822815747879,-1.9803517280932816e-05,-52349.807014293954,-2579.6926451244976,94206701.5726155,130261787.41593273,326553.80982507096,294467.23984215123,333961.3608830932,297646.9076735637,-0.0032655380982507098,-0.0029446723984215125,0,0
2025-04-16,0.0012936004015132608,0.0017741540125310782,121865.82697957536,231104.47282344734,94328567.39959508,130492891.88875617,326553.80982507096,294467.23984215123,333961.3608830932,297646.9076735637,-0.0032655380982507098,-0.0029446723984215125,0,0
2025-04-17,0.0001583388321601543,0.0006799336610607067,14935.875201392288,88726.50972432097,94343503.27479647,130581618.39848049,326553.80982507096,294467.23984215123,333961.3608830932,297646.9076735637,-0.0032655380982507098,-0.0029446723984215125,0,0
2025-04-18,-0.0009467932141694738,-0.0004141807906601315,-89323.78870155284,-54084.39795396222,94254179.48609492,130527534.00052653,326553.80982507096,294467.23984215123,333961.3608830932,297646.9076735637,-0.0032655380982507098,-0.0029446723984215125,0,0
2025-04-21,0.0005387546341843718,0.0020772808583228806,50779.875989379194,271142.3478633827,94304959.3620843,130798676.34838991,326553.80982507096,294467.23984215123,333961.3608830932,297646.9076735637,-0.0032655380982507098,-0.0029446723984215125,0,0
2025-04-22,0.000577989629113552,0.0010708665407495126,54507.288485259705,140067.9260758154,94359466.65056956,130938744.27446572,326553.80982507096,294467.23984215123,333961.3608830932,297646.9076735637,-0.0032655380982507098,-0.0029446723984215125,0,0
2025-04-23,-0.00017095666599457838,0.00035471239131702563,-16131.379823607978,46445.59509764423,94343335.27074595,130985189.86956337,326553.80982507096,294467.23984215123,333961.3608830932,297646.9076735637,-0.0032655380982507098,-0.0029446723984215125,0,0
2025-04-24,0.00041518093990352845,0.0008987334349283233,39169.55461134201,117720.7696162113,94382504.82535729,131102910.63917959,326553.80982507096,294467.23984215123,333961.3608830932,297646.9076735637,-0.0032655380982507098,-0.0029446723984215125,0,0
2025-04-25,-0.00035936690062099034,0.00018960787213776617,-33917.948231934315,24858.143917362548,94348586.87712535,131127768.78309695,326553.80982507096,294467.23984215123,333961.3608830932,297646.9076735637,-0.0032655380982507098,-0.0029446723984215125,0,0
2025-04-28,-0.00044678267910962894,0.0010855380329430316,-42153.31441516965,142344.18018901173,94306433.56271018,131270112.96328597,326553.80982507096,294467.23984215123,333961.3608830932,297646.9076735637,-0.0032655380982507098,-0.0029446723984215125,0,0
2025-04-29,-0.0012038999299903447,-0.0006722330306466906,-113535.50876378588,-88244.10587064316,94192898.05394639,131181868.85741532,326553.80982507096,294467.23984215123,333961.3608830932,297646.9076735637,-0.0032655380982507098,-0.0029446723984215125,0,0
2025-04-30,0.0006119669664851489,0.0010851720305768572,57642.94208651846,142354.89500286835,94250540.99603291,131324223.75241819,326553.80982507096,294467.23984215123,333961.3608830932,297646.9076735637,-0.0032655380982507098,-0.0029446723984215125,0,0
2025-05-02,-0.0014571031784671247,-0.0004209302510159292,-137332.7628575656,-55278.33846857744,94113208.23317534,131268945.41394961,326553.80982507096,294467.23984215123,333961.3608830932,297646.9076735637,-0.0032655380982507098,-0.0029446723984215125,0,0
2025-05-05,-0.0010794655677739185,0.00046463587019327705,-101591.96776044964,60992.26068176426,94011616.2654149,131329937.67463137,326553.80982507096,294467.23984215123,333961.3608830932,297646.9076735637,-0.0032655380982507098,-0.0029446723984215125,0,0
2025-05-06,-0.00011798663212097787,0.00040835512957659875,-11092.113983406047,53629.253716410734,94000524.15143149,131383566.92834778,326553.80982507096,294467.23984215123,333961.3608830932,297646.9076735637,-0.0032655380982507098,-0.0029446723984215125,0,0
2025-05-07,0.002418696232882063,0.00287829555780859,227358.71365400674,378160.737058911,94227882.8650855,131761727.66540669,326553.80982507096,294467.23984215123,333961.3608830932,297646.9076735637,-0.0032655380982507098,-0.0029446723984215125,0,0
