Date,CleanReturn,TotalReturn,CleanPnL,TotalPnL,CleanValue,TotalValue,CleanVaRLinear,TotalVaRLinear,CleanVaRDiscrete,TotalVaRDiscrete,CleanQuantileLinear,TotalQuantileLinear,CleanExceedance,TotalExceedance
2025-08-29,-0.0003944977081791327,8.706574843036743e-05,-38367.47061646219,12226.106467009158,97218143.33030401,140436063.11956328,326553.80982507096,482694.8038781715,333961.3608830932,673226.21508516,-0.0032655380982507098,-0.004826948038781715,0,0
2025-09-01,0.0008725668149077852,0.002241678923730708,84829.32567697192,314812.5628268404,97302972.65598099,140750875.68239012,326553.80982507096,482694.8038781715,333961.3608830932,673226.21508516,-0.0032655380982507098,-0.004826948038781715,0,0
2025-09-02,-0.0004008128661891028,7.546061143500077e-05,-39000.283358963636,10621.147139004941,97263972.37262203,140761496.82952914,326553.80982507096,482694.8038781715,333961.3608830932,673226.21508516,-0.0032655380982507098,-0.004826948038781715,0,0
2025-09-03,0.0009783960215876148,-0.008479389091905556,95162.68361318107,-1193571.500776608,97359135.05623521,139567925.32875252,326553.80982507096,696405.5590936337,333961.3608830932,762377.5381946743,-0.0032655380982507098,-0.006964055590936337,0,1
2025-09-04,0.0003965548526037743,0.0008688643403597229,38608.23745185631,121265.59337614162,97397743.29368706,139689190.92212865,326553.80982507096,696405.5590936337,333961.3608830932,762377.5381946743,-0.0032655380982507098,-0.006964055590936337,0,0
2025-09-05,-0.0005502142611785777,-7.557426397742745e-05,-53589.6273667968,-10556.907789542212,97344153.66632026,139678634.01433912,326553.80982507096,696405.5590936337,333961.3608830932,762377.5381946743,-0.0032655380982507098,-0.006964055590936337,0,0
2025-09-08,0.0005771201215596657,0.001995031688771625,56179.269797029534,278663.30110294075,97400332.93611729,139957297.31544206,326553.80982507096,696405.5590936337,333961.3608830932,762377.5381946743,-0.0032655380982507098,-0.006964055590936337,0,0
2025-09-09,-0.0012206019517866143,-0.0007296323869146045,-118887.03648649082,-102117.37690638297,97281445.8996308,139855179.93853566,326553.80982507096,696405.5590936337,333961.3608830932,762377.5381946743,-0.0032655380982507098,-0.006964055590936337,0,0
2025-09-10,-5.062361098904177e-05,0.00043890559324682673,-4924.738073674423,61383.22071956469,97276521.16155712,139916563.15925524,326553.80982507096,696405.5590936337,333961.3608830932,762377.5381946743,-0.0032655380982507098,-0.006964055590936337,0,0
2025-09-11,-0.0005483329093048043,-6.295789972981147e-05,-53339.91785556698,-8808.852953920225,97223181.24370156,139907754.30630133,326553.80982507096,696405.5590936337,333961.3608830932,762377.5381946743,-0.0032655380982507098,-0.006964055590936337,0,0
2025-09-12,-0.000990266537818254,-0.0004770240986530879,-96276.86308587695,-66739.37039254107,97126904.38061568,139841014.9359088,326553.80982507096,696405.5590936337,333961.3608830932,762377.5381946743,-0.0032655380982507098,-0.006964055590936337,0,0
2025-09-15,-0.000740147052161268,0.0006909397009085139,-71888.19196286204,96621.70903455984,97055016.18865281,139937636.64494336,326553.80982507096,696405.5590936337,333961.3608830932,762377.5381946743,-0.0032655380982507098,-0.006964055590936337,0,0
2025-09-16,-0.0006199597985723338,-0.00012424207458691693,-60170.2082867518,-17386.14228955793,96994845.98036607,139920250.5026538,326553.80982507096,696405.5590936337,333961.3608830932,762377.5381946743,-0.0032655380982507098,-0.006964055590936337,0,0
2025-09-17,-0.00010223666730431493,0.00036870861313622954,-9916.429798727953,51589.80151250731,96984929.55056734,139971840.30416632,326553.80982507096,696405.5590936337,333961.3608830932,762377.5381946743,-0.0032655380982507098,-0.006964055590936337,0,0
2025-09-18,-0.0012713313379812683,-0.0007715047253224411,-123299.98024954183,-107988.93620674242,96861629.5703178,139863851.3679596,326553.80982507096,696405.5590936337,333961.3608830932,762377.5381946743,-0.0032655380982507098,-0.006964055590936337,0,0
2025-09-19,-0.0012497726357848123,-0.0007542176203415097,-121055.0140945082,-105487.78115054108,96740574.5562233,139758363.58680904,326553.80982507096,696405.5590936337,333961.3608830932,762377.5381946743,-0.0032655380982507098,-0.006964055590936337,0,0
2025-09-22,-0.0005594873503789178,0.000865354322144184,-54125.12773259553,120940.50398564355,96686449.42849071,139879304.09079468,326553.80982507096,696405.5590936337,333961.3608830932,762377.5381946743,-0.0032655380982507098,-0.006964055590936337,0,0
2025-09-23,0.0013770807660683205,0.0018067372789212289,133145.04984741192,252725.1532503975,96819594.47833812,140132029.24404508,326553.80982507096,696405.5590936337,333961.3608830932,762377.5381946743,-0.0032655380982507098,-0.006964055590936337,0,0
2025-09-24,-0.000853412584640183,-0.0052215991316888755,-82627.06036757292,-731713.2822225059,96736967.41797055,139400315.96182257,326553.80982507096,696405.5590936337,333961.3608830932,762377.5381946743,-0.0032655380982507098,-0.006964055590936337,0,0
2025-09-25,-0.0011326214265955927,-0.0006210651940212363,-109566.36204147318,-86576.68427945099,96627401.05592908,139313739.27754313,326553.80982507096,696405.5590936337,333961.3608830932,762377.5381946743,-0.0032655380982507098,-0.006964055590936337,0,0
2025-09-26,0.00022353227244835446,0.0006740382151448779,21599.342538810353,93902.78416779405,96649000.39846788,139407642.06171092,326553.80982507096,696405.5590936337,333961.3608830932,762377.5381946743,-0.0032655380982507098,-0.006964055590936337,0,0
2025-09-29,-0.001288555757129116,0.0001488090216796279,-124537.62588422002,20745.114829866947,96524462.77258366,139428387.1765408,326553.80982507096,696405.5590936337,333961.3608830932,762377.5381946743,-0.0032655380982507098,-0.006964055590936337,0,0
2025-09-30,-0.0005723360069985288,-6.0418429529149244e-05,-55244.42560093868,-8424.044184988767,96469218.34698272,139419963.1323558,326553.80982507096,696405.5590936337,333961.3608830932,762377.5381946743,-0.0032655380982507098,-0.006964055590936337,0,0
2025-10-01,-6.921078056961096e-05,0.0003823587755452694,-6676.709902734909,53308.44638985417,96462541.63707998,139473271.57874566,326553.80982507096,696405.5590936337,333961.3608830932,762377.5381946743,-0.0032655380982507098,-0.006964055590936337,0,0
