Date,CleanReturn,TotalReturn,CleanPnL,TotalPnL,CleanValue,TotalValue,CleanVaRLinear,TotalVaRLinear,CleanVaRDiscrete,TotalVaRDiscrete,CleanQuantileLinear,TotalQuantileLinear,CleanExceedance,TotalExceedance
2024-06-27,5.188491582987168e-06,0.00041142480332372815,493.08767805753155,47975.40099878876,95035373.68271342,116655920.79275848,204651.4700944052,159084.87655529732,213691.2282279551,164172.56198775864,-0.002046514700944052,-0.0015908487655529732,0,0
2024-06-28,-0.0008867836385421906,-0.0004638893586188908,-84275.81446457336,-54115.440275648856,94951097.86824885,116601805.35248283,204651.4700944052,159084.87655529732,213691.2282279551,164172.56198775864,-0.002046514700944052,-0.0015908487655529732,0,0
2024-07-01,0.00037274944727537496,0.0015661805598110579,35392.96924857979,182619.48078193155,94986490.83749743,116784424.83326475,204651.4700944052,159084.87655529732,213691.2282279551,164172.56198775864,-0.002046514700944052,-0.0015908487655529732,0,0
2024-07-02,-0.0005229917370027127,-0.00010639347630466275,-49677.149834895026,-12425.100936251622,94936813.68766253,116771999.7323285,204651.4700944052,159084.87655529732,213691.2282279551,164172.56198775864,-0.002046514700944052,-0.0015908487655529732,0,0
2024-07-03,-0.0003398029485653832,7.805586782317387e-05,-32259.809218470156,9114.739776554328,94904553.87844406,116781114.47210506,204651.4700944052,159084.87655529732,213691.2282279551,164172.56198775864,-0.002046514700944052,-0.0015908487655529732,0,0
2024-07-04,-0.000399805090542956,1.6700035146460204e-05,-37943.32375631017,1950.2487161269469,94866610.55468775,116783064.72082119,204651.4700944052,159084.87655529732,213691.2282279551,164172.56198775864,-0.002046514700944052,-0.0015908487655529732,0,0
2024-07-05,-0.0014302699952915198,-0.0009722509625852898,-135684.8666313757,-113542.4470884786,94730925.68805638,116669522.2737327,204651.4700944052,159084.87655529732,213691.2282279551,164172.56198775864,-0.002046514700944052,-0.0015908487655529732,0,0
2024-07-08,-0.00025407954950662227,0.0009775386767161148,-24069.190923166676,114048.97041656595,94706856.49713321,116783571.24414927,204651.4700944052,159084.87655529732,213691.2282279551,164172.56198775864,-0.002046514700944052,-0.0015908487655529732,0,0
2024-07-09,-0.00017820165989037404,0.00024074300021351564,-16876.919030788595,28114.827316965348,94689979.57810242,116811686.07146624,204651.4700944052,159084.87655529732,213691.2282279551,164172.56198775864,-0.002046514700944052,-0.0015908487655529732,0,0
2024-07-10,-0.0010550905996875603,-0.0006103452283890455,-99906.50733746293,-71295.45521379854,94590073.07076496,116740390.61625244,204651.4700944052,159084.87655529732,213691.2282279551,164172.56198775864,-0.002046514700944052,-0.0015908487655529732,0,0
2024-07-11,-0.00013675981398523595,0.0002786620792562591,-12936.120798007692,32531.119982312783,94577136.94996695,116772921.73623475,204651.4700944052,159084.87655529732,213691.2282279551,164172.56198775864,-0.002046514700944052,-0.0015908487655529732,0,0
2024-07-12,-0.0002173848279927057,0.00021078497319923305,-20559.634647911134,24613.97717856838,94556577.31531905,116797535.71341333,204651.4700944052,159084.87655529732,213691.2282279551,164172.56198775864,-0.002046514700944052,-0.0015908487655529732,0,0
2024-07-15,-0.001682669592710771,-0.00039399271432814245,-159107.47743929242,-46017.378122565875,94397469.83787975,116751518.33529076,204651.4700944052,159084.87655529732,213691.2282279551,164172.56198775864,-0.002046514700944052,-0.0015908487655529732,0,0
2024-07-16,-0.0012474283284122077,-0.0008150804060909486,-117754.07800620812,-95161.87497646362,94279715.75987354,116656356.4603143,204651.4700944052,159084.87655529732,213691.2282279551,164172.56198775864,-0.002046514700944052,-0.0015908487655529732,0,0
2024-07-17,-0.0002687292013601255,0.0001697352468008287,-25335.712720610456,19800.695454676897,94254380.04715292,116676157.15576898,204651.4700944052,159084.87655529732,213691.2282279551,164172.56198775864,-0.002046514700944052,-0.0015908487655529732,0,0
2024-07-18,0.002121919147836265,0.0024587219493062873,200000.17378949016,286874.228559599,94454380.22094241,116963031.38432857,204651.4700944052,159084.87655529732,213691.2282279551,164172.56198775864,-0.002046514700944052,-0.0015908487655529732,0,0
2024-07-19,0.0001289688345351482,0.0005387228211286423,12181.671333834698,63010.654235123424,94466561.89227624,117026042.0385637,204651.4700944052,159084.87655529732,213691.2282279551,164172.56198775864,-0.002046514700944052,-0.0015908487655529732,0,0
2024-07-22,0.001429988758133442,0.002605107021985978,135086.12152547203,304865.36386988853,94601648.01380171,117330907.40243359,204651.4700944052,159084.87655529732,213691.2282279551,164172.56198775864,-0.002046514700944052,-0.0015908487655529732,0,0
2024-07-23,-0.0014781596128190877,-0.0010083069184276935,-139836.33540012877,-118305.56567927287,94461811.67840157,117212601.83675432,204651.4700944052,159084.87655529732,213691.2282279551,164172.56198775864,-0.002046514700944052,-0.0015908487655529732,0,0
2024-07-24,0.000579855678229654,0.0009677614049818871,54774.217877581395,113433.83223511989,94516585.89627916,117326035.66898943,204651.4700944052,159084.87655529732,213691.2282279551,164172.56198775864,-0.002046514700944052,-0.0015908487655529732,0,0
2024-07-25,0.0012156611053384485,0.001580688080922151,114900.13728348713,185455.86616381875,94631486.03356265,117511491.53515325,204651.4700944052,159084.87655529732,213691.2282279551,164172.56198775864,-0.002046514700944052,-0.0015908487655529732,0,0
2024-07-26,-0.002959072370228559,-0.002431388039384016,-280021.415675585,-285716.03500874765,94351464.61788706,117225775.50014451,235067.39051462928,184703.78489492578,295907.2370228559,243138.8039384016,-0.0023506739051462927,-0.0018470378489492578,1,1
2024-07-29,-0.0008617492089596993,0.000406214136659101,-81307.29999865324,47618.76718898479,94270157.31788841,117273394.2673335,235067.39051462928,184703.78489492578,295907.2370228559,243138.8039384016,-0.0023506739051462927,-0.0018470378489492578,0,0
2024-07-30,0.0013841434651582455,0.0017247737113181547,130483.42221099499,202270.067469346,94400640.7400994,117475664.33480284,235067.39051462928,184703.78489492578,295907.2370228559,243138.8039384016,-0.0023506739051462927,-0.0018470378489492578,0,0
2024-07-31,0.0003813822715623635,0.0007599484525564262,36002.730802401704,89275.44932427157,94436643.4709018,117564939.7841271,235067.39051462928,184703.78489492578,295907.2370228559,243138.8039384016,-0.0023506739051462927,-0.0018470378489492578,0,0
