Date,CleanReturn,TotalReturn,CleanPnL,TotalPnL,CleanValue,TotalValue,CleanVaRLinear,TotalVaRLinear,CleanVaRDiscrete,TotalVaRDiscrete,CleanQuantileLinear,TotalQuantileLinear,CleanExceedance,TotalExceedance
2024-02-02,-0.000535069079323733,-0.00019345690359845273,-51770.04230593536,-21752.406705687088,96702171.28311482,112418828.93764012,336284.21062589757,276805.54942978366,371510.8822540548,344473.2448381352,-0.0033628421062589756,-0.0027680554942978363,0,0
2024-02-05,-0.00023926936093277956,0.0007943717555740999,-23137.86672372307,89302.34250277761,96679033.4163911,112508131.28014289,336284.21062589757,276805.54942978366,371510.8822540548,344473.2448381352,-0.0033628421062589756,-0.0027680554942978363,0,0
2024-02-06,-8.486602570031211e-06,0.00033968339809901677,-820.4765334596781,38217.14434700922,96678212.93985765,112546348.4244899,336284.21062589757,276805.54942978366,371510.8822540548,344473.2448381352,-0.0033628421062589756,-0.0027680554942978363,0,0
2024-02-07,0.0002998379464495208,0.0006399122140710782,28987.79683429641,72019.78300593034,96707200.73669194,112618368.20749582,336284.21062589757,276805.54942978366,371510.8822540548,344473.2448381352,-0.0033628421062589756,-0.0027680554942978363,0,0
2024-02-08,-0.0010176312945784827,-0.0006588690939817939,-98412.273880741,-74200.76222658083,96608788.4628112,112544167.44526924,336284.21062589757,276805.54942978366,371510.8822540548,344473.2448381352,-0.0033628421062589756,-0.0027680554942978363,0,0
2024-02-09,-0.00017556213791854877,0.0001637470104186607,-16960.845444251965,18428.770959219997,96591827.61736695,112562596.21622846,336284.21062589757,276805.54942978366,371510.8822540548,344473.2448381352,-0.0033628421062589756,-0.0027680554942978363,0,0
2024-02-12,0.0007119437323855234,0.0017322582376126923,68767.94627184731,194987.484542633,96660595.5636388,112757583.7007711,336284.21062589757,276805.54942978366,371510.8822540548,344473.2448381352,-0.0033628421062589756,-0.0027680554942978363,0,0
2024-02-13,-0.0003767761836270693,-2.8917557804995744e-05,-36419.41030358745,-3260.673944618694,96624176.15333521,112754323.02682647,336284.21062589757,276805.54942978366,371510.8822540548,344473.2448381352,-0.0033628421062589756,-0.0027680554942978363,0,0
2024-02-14,0.0005847010037480486,0.0009163794856938685,56496.252783183365,103325.74854508355,96680672.4061184,112857648.77537155,336284.21062589757,276805.54942978366,371510.8822540548,344473.2448381352,-0.0033628421062589756,-0.0027680554942978363,0,0
2024-02-15,-0.0009068210850327714,-0.0005463276850532805,-87672.07225301421,-61657.25799600493,96593000.33386537,112795991.51737554,336284.21062589757,276805.54942978366,371510.8822540548,344473.2448381352,-0.0033628421062589756,-0.0027680554942978363,0,0
