Date,CleanReturn,TotalReturn,CleanPnL,TotalPnL,CleanValue,TotalValue,CleanVaRLinear,TotalVaRLinear,CleanVaRDiscrete,TotalVaRDiscrete,CleanQuantileLinear,TotalQuantileLinear,CleanExceedance,TotalExceedance
2022-11-29,-0.0004962867937537653,-0.00023210600791207767,-48775.81446521038,-23697.877293024896,98232732.13436548,102075672.60518803,,,,,,,0,0
2022-11-30,0.00033874303880479864,0.0005805820237029561,33275.65419329276,59263.30057196046,98266007.78855878,102134935.90575999,,,,,,,0,0
2022-12-01,-0.0001646152884515173,9.561187331270563e-05,-16176.087217092649,9765.312552622834,98249831.70134169,102144701.2183126,,,,,,,0,0
2022-12-02,-0.0010764608884402766,-0.0008067490751472525,-105762.10112233393,-82405.14323906614,98144069.60021935,102062296.07507354,,,,,,,0,0
2022-12-05,-0.0007168275368410759,5.7368252235816e-05,-70352.37166708436,5855.135545001352,98073717.22855227,102068151.21061854,,,,,,,0,0
2022-12-06,-0.0007729433499643404,-0.0004940445275899387,-75805.42753809264,-50426.21154682846,97997911.80101417,102017724.99907172,,,,,,,0,0
2022-12-07,-1.1722881056775247e-05,0.0002436294242232836,-1148.8178638556403,24854.51960209313,97996762.98315032,102042579.5186738,,,,,,,0,0
2022-12-08,0.0006877052539292481,0.0009342429002460908,67392.88877157173,95332.55543811817,98064155.8719219,102137912.07411192,,,,,,,0,0
2022-12-09,-0.00022555579419218283,3.730588072994534e-05,-22118.938559477352,3810.344765842463,98042036.93336242,102141722.41887777,,,,,,,0,0
2022-12-12,-0.0007414228045344121,4.8510737765719245e-05,-72690.60198539999,4954.970311201066,97969346.33137703,102146677.38918896,,,,,,,0,0
2022-12-13,-0.00021289956216769158,4.873421576512604e-05,-20857.630939805113,4978.038215575456,97948488.70043722,102151655.42740454,,,,,,,0,0
2022-12-14,-0.0002703224813336804,-3.6013986769558096e-06,-26477.678508386147,-367.88883670510046,97922011.02192883,102151287.53856783,,,,,,,0,0
2022-12-15,-0.0006781471285037624,-0.0004018275643826547,-66405.5305918348,-41047.20307017494,97855605.491337,102110240.33549765,,,,,,,0,0
2022-12-16,0.00012989845723579467,0.00038271804832422916,12711.292185199234,39079.43189511964,97868316.7835222,102149319.76739277,,,,,,,0,0
2022-12-19,-0.000598081981151346,0.0001970291807551083,-58533.276793836485,20126.39678846099,97809783.50672837,102169446.16418123,,,,,,,0,0
2022-12-20,-0.0003658342740579828,-0.00010559730480360217,-35782.17114495243,-10788.818148214268,97774001.33558342,102158657.34603302,,,,,,,0,0
2022-12-21,-0.0009824948288868639,-0.0006919076187080058,-96062.45071178803,-70684.35333470083,97677938.88487163,102087972.99269833,,,,,,,0,0
