Date,CleanReturn,TotalReturn,CleanPnL,TotalPnL,CleanValue,TotalValue,CleanVaRLinear,TotalVaRLinear,CleanVaRDiscrete,TotalVaRDiscrete,CleanQuantileLinear,TotalQuantileLinear,CleanExceedance,TotalExceedance
2026-01-22,-0.0004613422763358948,-8.77259897365914e-06,-44184.02554555596,-1224.2812245962002,95728581.2550991,139556189.46494827,326553.80982507096,870400.0728973811,333961.3608830932,894861.4486058819,-0.0032655380982507098,-0.008704000728973812,0,0
2026-01-23,-0.0007937909866493072,-0.0003282191203730442,-75988.4849650235,-45805.00974879922,95652592.77013408,139510384.45519948,326553.80982507096,870400.0728973811,333961.3608830932,894861.4486058819,-0.0032655380982507098,-0.008704000728973812,0,0
2026-01-26,0.0001331988772036233,0.0014715387946962872,12740.817958597276,205294.94298881988,95665333.58809267,139715679.3981883,326553.80982507096,870400.0728973811,333961.3608830932,894861.4486058819,-0.0032655380982507098,-0.008704000728973812,0,0
2026-01-27,-0.0004756414966157744,-3.401945149867157e-05,-45502.40244208771,-4753.0507788906125,95619831.18565059,139710926.3474094,326553.80982507096,870400.0728973811,333961.3608830932,894861.4486058819,-0.0032655380982507098,-0.008704000728973812,0,0
2026-01-28,-0.0005526909448942181,-7.688938910126483e-05,-52848.21484862285,-10742.287777624113,95566982.97080196,139700184.05963176,326553.80982507096,870400.0728973811,333961.3608830932,894861.4486058819,-0.0032655380982507098,-0.008704000728973812,0,0
2026-01-29,-0.00019678650076617328,0.00025871911792524056,-18806.292167604588,36143.10839390168,95548176.67863436,139736327.16802567,326553.80982507096,870400.0728973811,333961.3608830932,894861.4486058819,-0.0032655380982507098,-0.008704000728973812,0,0
2026-01-30,0.0002773234077051077,0.0006969663952564461,26497.74595652858,97391.52423267424,95574674.42459089,139833718.69225836,326553.80982507096,870400.0728973811,333961.3608830932,894861.4486058819,-0.0032655380982507098,-0.008704000728973812,0,0
2026-02-02,-0.0006911004400810743,0.0006636384529670404,-66051.69955544015,92799.03274555867,95508622.72503544,139926517.72500393,326553.80982507096,870400.0728973811,333961.3608830932,894861.4486058819,-0.0032655380982507098,-0.008704000728973812,0,0
2026-02-03,1.5346977879055954e-05,0.00047219982113104675,1465.7687202202196,66073.2766412371,95510088.49375567,139992591.00164518,326553.80982507096,870400.0728973811,333961.3608830932,894861.4486058819,-0.0032655380982507098,-0.008704000728973812,0,0
2026-02-04,0.000896875244964498,0.001288259818456407,85660.634014418,180346.82986902146,95595749.12777008,140172937.8315142,326553.80982507096,870400.0728973811,333961.3608830932,894861.4486058819,-0.0032655380982507098,-0.008704000728973812,0,0
2026-02-05,-0.0010504079454635746,-0.0005741444588134311,-100414.53443635227,-80479.51553156345,95495334.59333374,140092458.31598264,326553.80982507096,870400.0728973811,333961.3608830932,894861.4486058819,-0.0032655380982507098,-0.008704000728973812,0,0
2026-02-06,-0.0008457222230184036,-0.00037779172220912957,-80762.52666016047,-52925.77109570578,95414572.06667358,140039532.54488695,326553.80982507096,870400.0728973811,333961.3608830932,894861.4486058819,-0.0032655380982507098,-0.008704000728973812,0,0
