Date,CleanReturn,TotalReturn,CleanPnL,TotalPnL,CleanValue,TotalValue,CleanVaRLinear,TotalVaRLinear,CleanVaRDiscrete,TotalVaRDiscrete,CleanQuantileLinear,TotalQuantileLinear,CleanExceedance,TotalExceedance
2022-07-11,-0.00016574530650306397,0.000641268764481832,-16574.5306503064,64126.8764481832,99983425.4693497,100064126.87644818,,,,,,,0,0
2022-07-12,-0.00033682266914697147,-7.04381005239449e-05,-33676.68423704366,-7048.327027764034,99949748.78511265,100057078.54942042,,,,,,,0,0
2022-07-13,-0.000428940820651578,-0.00015035721343281013,-42872.52726780528,-15044.303514918654,99906876.25784485,100042034.2459055,,,,,,,0,0
2022-07-14,-0.0002608192408471155,1.2043414586984365e-05,-26057.635620977802,1204.8476945487278,99880818.62222387,100043239.09360005,,,,,,,0,0
2022-07-15,0.0006582194705913814,0.0009123699894828981,65743.49955575398,91276.44899966294,99946562.12177962,100134515.54259971,,,,,,,0,0
2022-07-18,-0.000677146786337185,0.00015330320664319984,-67678.4933462129,15350.94232834387,99878883.6284334,100149866.48492806,,,,,,,0,0
2022-07-19,-0.0008240352541416915,-0.0005311599045454781,-82303.72125414455,-53195.59352237677,99796579.90717927,100096670.89140569,,,,,,,0,0
2022-07-20,0.0009246824306770064,0.0011727517818773173,92280.14408182263,117388.54914788342,99888860.05126108,100214059.44055358,,,,,,,0,0
2022-07-21,0.00209058610207076,0.00230221384302972,208826.26257485757,230714.19491024563,100097686.31383593,100444773.63546382,,,,,,,0,0
2022-07-22,0.0022085313358601285,0.0024277618372975846,221068.87687120418,243855.98818817362,100318755.19070713,100688629.623652,,,,,,,0,0
2022-07-25,-0.00045607918828940313,0.00037206296137144674,-45753.296437581055,37462.50971420874,100273001.89426956,100726092.13336621,,,,,,,0,0
2022-07-26,0.0005009982931480079,0.0007532809797543968,50236.602797856016,75875.04936905374,100323238.4970674,100801967.18273526,,,,,,,0,0
2022-07-27,0.0003546341377177685,0.0006183132945347259,35578.045177461536,62327.19642433837,100358816.54224487,100864294.3791596,,,,,,,0,0
2022-07-28,0.00062217549111429,0.0008735776704846895,62440.79596982012,88112.79531882821,100421257.33821468,100952407.17447843,,,,,,,0,0
2022-07-29,0.00018687387946842945,0.00045394100718214466,18766.109939889666,45826.437390244704,100440023.44815457,100998233.61186866,,,,,,,0,0
